Iter;Dataset;Split;Str;k;µ;KL
177;2;3;2;1;0,02;31,40287527
178;2;3;2;1;0,05;22,63052843
179;2;3;2;1;0,1;14,74215804
180;2;3;2;1;0,2;9,352623596
181;2;3;2;1;0,5;3,160077775
182;2;3;2;1;1;1,480907393
190;2;3;2;2;0,01;105,3021643
191;2;3;2;2;0,02;102,2949707
192;2;3;2;2;0,05;95,18570647
194;2;3;2;2;0,2;71,49928055
193;2;3;2;2;0,1;84,74919122
196;2;3;2;2;1;29,04196166
195;2;3;2;2;0,5;48,08422876
204;2;4;2;1;0,01;34,61359757
205;2;4;2;1;0,02;31,50400298
206;2;4;2;1;0,05;24,95765672
207;2;4;2;1;0,1;17,26958731
208;2;4;2;1;0,2;10,69106513
209;2;4;2;1;0,5;4,588089031
210;2;4;2;1;1;1,851751639
220;2;4;2;2;0,05;89,61028718
219;2;4;2;2;0,02;96,28006585
222;2;4;2;2;0,2;71,1138955
223;2;4;2;2;0,5;50,69120207
218;2;4;2;2;0,01;97,73474602
221;2;4;2;2;0,1;83,13374008
224;2;4;2;2;1;33,27566344
233;3;1;2;1;0,02;205,9604421
232;3;1;2;1;0,01;244,8746248
235;3;1;2;1;0,1;105,9203162
234;3;1;2;1;0,05;151,8163826
236;3;1;2;1;0,2;64,97465505
237;3;1;2;1;0,5;27,65892015
238;3;1;2;1;1;11,86654163
246;3;1;2;2;0,01;803,5305576
249;3;1;2;2;0,1;613,7370615
247;3;1;2;2;0,02;767,4584885
251;3;1;2;2;0,5;316,0602448
248;3;1;2;2;0,05;694,1799767
252;3;1;2;2;1;183,4236394
250;3;1;2;2;0,2;497,1995805
260;3;2;2;1;0,01;240,9402874
261;3;2;2;1;0,02;208,9522621
262;3;2;2;1;0,05;151,1098376
263;3;2;2;1;0,1;105,846614
264;3;2;2;1;0,2;63,97258191
265;3;2;2;1;0,5;27,30930089
266;3;2;2;1;1;12,30251249
277;3;2;2;2;0,1;615,7098836
276;3;2;2;2;0,05;701,3456983
279;3;2;2;2;0,5;314,7320326
280;3;2;2;2;1;182,5117626
278;3;2;2;2;0,2;495,6815226
275;3;2;2;2;0,02;768,5099243
274;3;2;2;2;0,01;802,1777688
288;3;3;2;1;0,01;168,2192086
289;3;3;2;1;0,02;110,6776558
290;3;3;2;1;0,05;56,64551398
291;3;3;2;1;0,1;27,27292547
292;3;3;2;1;0,2;11,73199993
293;3;3;2;1;0,5;3,177825324
294;3;3;2;1;1;0,92658468
304;3;3;2;2;0,05;498,1433464
308;3;3;2;2;1;2,096763312
307;3;3;2;2;0,5;54,85570305
302;3;3;2;2;0,01;812,7701907
303;3;3;2;2;0,02;695,2965276
305;3;3;2;2;0,1;339,856645
306;3;3;2;2;0,2;193,6040061
316;3;4;2;1;0,01;232,7112299
317;3;4;2;1;0,02;198,4627136
318;3;4;2;1;0,05;141,7087
319;3;4;2;1;0,1;96,25699498
320;3;4;2;1;0,2;56,66771435
321;3;4;2;1;0,5;23,51948176
322;3;4;2;1;1;9,907807699
330;3;4;2;2;0,01;799,650753
332;3;4;2;2;0,05;686,9104042
333;3;4;2;2;0,1;593,9451206
336;3;4;2;2;1;156,4274823
335;3;4;2;2;0,5;285,1797771
334;3;4;2;2;0,2;470,2010263
331;3;4;2;2;0,02;767,2231995
1;1;0;1;1;0,01;122,5175431
2;1;0;1;1;0,02;94,48791893
3;1;0;1;1;0,05;49,97633143
4;1;0;1;1;0,1;34,54258278
5;1;0;1;1;0,2;17,32262904
6;1;0;1;1;0,5;4,108974058
7;1;0;1;1;1;1,198095301
22;1;0;1;2;0,01;421,7508094
23;1;0;1;2;0,02;350,5237983
24;1;0;1;2;0,05;253,3234564
25;1;0;1;2;0,1;156,1971009
26;1;0;1;2;0,2;67,01992505
27;1;0;1;2;0,5;2,163046759
28;1;0;1;2;1;16,01601316
43;2;0;1;1;0,01;10,47276293
44;2;0;1;1;0,02;4,580956359
45;2;0;1;1;0,05;1,242334867
46;2;0;1;1;0,1;0,513496677
47;2;0;1;1;0,2;0,150967642
48;2;0;1;1;0,5;0,042684147
49;2;0;1;1;1;0,030111756
65;2;0;1;2;0,02;80,69112235
66;2;0;1;2;0,05;34,57535349
68;2;0;1;2;0,2;4,92120184
64;2;0;1;2;0,01;128,1576546
69;2;0;1;2;0,5;0,81614142
67;2;0;1;2;0,1;13,89931917
70;2;0;1;2;1;0,293973218
88;3;0;1;1;0,1;2,042274749
91;3;0;1;1;1;0,052948895
90;3;0;1;1;0,5;0,017029459
86;3;0;1;1;0,02;18,62937217
89;3;0;1;1;0,2;0,575033746
85;3;0;1;1;0,01;40,72408903
87;3;0;1;1;0,05;5,622837522
106;3;0;1;2;0,01;354,8921611
110;3;0;1;2;0,2;14,46844035
111;3;0;1;2;0,5;15,80979604
109;3;0;1;2;0,1;4,432325037
108;3;0;1;2;0,05;58,29848007
107;3;0;1;2;0,02;197,5943337
112;3;0;1;2;1;10,91918303
8;1;0;2;1;0,01;174,3844033
9;1;0;2;1;0,02;144,6361212
10;1;0;2;1;0,05;107,8710679
11;1;0;2;1;0,1;81,26560785
12;1;0;2;1;0,2;57,59613008
13;1;0;2;1;0,5;22,40095183
14;1;0;2;1;1;11,15956616
29;1;0;2;2;0,01;473,2899798
30;1;0;2;2;0,02;430,5837206
31;1;0;2;2;0,05;412,2296185
32;1;0;2;2;0,1;373,9118479
33;1;0;2;2;0,2;302,6537492
34;1;0;2;2;0,5;173,6822168
35;1;0;2;2;1;88,74370929
50;2;0;2;1;0,01;34,34409683
51;2;0;2;1;0,02;19,93504225
52;2;0;2;1;0,05;9,096408273
53;2;0;2;1;0,1;3,215065426
54;2;0;2;1;0,2;1,365742748
55;2;0;2;1;0,5;0,317577213
56;2;0;2;1;1;0,090059642
71;2;0;2;2;0,01;251,3092586
